country,state,city,is_popular,is_nearby
India,Bihar,Sheikhpura,0,0
India,Bihar,Sheohar,0,0
India,Bihar,Sherghati,0,0
India,Bihar,Silao,0,0
India,Bihar,Sitamarhi,0,0
India,Bihar,Siwan,0,0
India,Bihar,Supaul,0,0
India,Bihar,Teghra,0,0
India,Bihar,Tekari,0,0
India,Bihar,Thakurganj,0,0
India,Bihar,Vaishali,0,0
India,Bihar,Waris Aliganj,0,0
India,Chandigarh,Chandigarh,1,0
India,Chhattisgarh,Akaltara,0,0
India,Chhattisgarh,Ambagarh Chauki,0,0
India,Chhattisgarh,Ambikapur,0,0
India,Chhattisgarh,Arang,0,0
India,Chhattisgarh,Baikunthpur,0,0
India,Chhattisgarh,Balod,0,0
India,Chhattisgarh,Baloda,0,0
India,Chhattisgarh,Baloda Bazar,0,0
India,Chhattisgarh,Basna,0,0
India,Chhattisgarh,Bastar,0,0
India,Chhattisgarh,Bemetara,0,0
India,Chhattisgarh,Bhanpuri,0,0
India,Chhattisgarh,Bhatapara,0,0
India,Chhattisgarh,Bhatgaon,0,0
India,Chhattisgarh,Bhilai,0,0
India,Chhattisgarh,Bijapur,0,0
India,Chhattisgarh,Bilaspur,0,0
India,Chhattisgarh,Champa,0,0
India,Chhattisgarh,Chhuikhadan,0,0
India,Chhattisgarh,Dantewada,0,0
India,Chhattisgarh,Deori,0,0
India,Chhattisgarh,Dhamtari,0,0
India,Chhattisgarh,Dongargaon,0,0
India,Chhattisgarh,Dongargarh,0,0
India,Chhattisgarh,Durg,0,0
India,Chhattisgarh,Gandai,0,0
India,Chhattisgarh,Gariaband,0,0
India,Chhattisgarh,Gaurela,0,0
India,Chhattisgarh,Gharghoda,0,0
India,Chhattisgarh,Gidam,0,0
India,Chhattisgarh,Jagdalpur,0,0
India,Chhattisgarh,Janjgir,0,0
India,Chhattisgarh,Janjgir-Champa,0,0
India,Chhattisgarh,Jashpur,0,0
India,Chhattisgarh,Jashpurnagar,0,0
India,Chhattisgarh,Junagarh,0,0
India,Chhattisgarh,Kabeerdham,0,0
India,Chhattisgarh,Kanker,0,0
India,Chhattisgarh,Katghora,0,0
India,Chhattisgarh,Kawardha,0,0
India,Chhattisgarh,Khairagarh,0,0
India,Chhattisgarh,Khamharia,0,0
India,Chhattisgarh,Kharod,0,0
India,Chhattisgarh,Kharsia,0,0
India,Chhattisgarh,Kirandul,0,0
India,Chhattisgarh,Kondagaon,0,0
India,Chhattisgarh,Korba,0,0
India,Chhattisgarh,Koria,0,0
India,Chhattisgarh,Kota,0,0
